209255,8560839
205106,6255854
212282,2447140
209241,4171994
301161,9207016
202022,9705036
212061,4021502
205306,4870136
206243,286390
112112,105316
112212,3253
202179,5849378
302130,211208
208165,4596147
111208,895629
203057,9807080
201210,8487608
210080,7989016
203160,202024
211140,1405298
211097,3063
206052,9404063
207015,8920435
205213,202179
201257,1568837
302104,210102
206248,206059
112214,111281
301120,8015
210006,112019
303082,4195066
206214,9909007
202064,108245
302027,208074
211005,2554175
211116,9484249
301037,1253399
304053,6186
203064,108205
209064,4102836
212278,1697992
209076,8309300
207245,7370270
206251,111256
304208,201112
112187,11023
206103,9802150
211259,1977744
204100,2537257
207209,9704080
211108,1907170
303197,302105
204051,2241813
202140,106100
209167,9209058
206209,1416897
207156,203265
210145,9402093
206164,9910181
203057,5892096
201017,9803132
207116,106153
304046,9811017
203266,4895862
211232,9510017
301250,269082
211162,3093439
202131,1921817
212142,109183
302126,4962372
212281,2093284
207234,201221
303205,9903066
301012,6301554
202151,8487120
208227,6300431
204112,202193
208042,4011
208225,892136
206010,7545432
210262,9705040
207251,8983384
206192,8525859
209079,108061
112214,8765183
302187,3910332
206247,3286
206127,6603135
212120,9403045
112113,4048553
206103,8748151
206096,9409089
207046,9710062
206242,10223
204112,5509895
211058,9036849
201159,9212999
301215,2620089
206247,8772037
301165,209133
210228,4004604
208083,9907019
206060,101145
202101,9804124
303115,7766258
301104,5420117
211180,105204
108010,5110920
203272,9407025
303035,1913451
208219,1133
208079,1179421
203101,3147
211245,5106960
112006,9805191
303203,2459712
301091,5673178
201149,3452727
209053,9503230
211135,6432047
302075,3607004
210218,5198933
301048,9807082
205315,204156
207201,6926767
301110,9806049
211122,208092
211193,9777952
207031,8656146
301164,4460820
209070,6179
211141,4747929
205070,5892920
304142,4560928
202167,6780630
201253,3116
211031,107228
302165,2434266
203020,2052888
203245,958819
204226,6915106
212072,210220
201255,5688763
201047,3435257
205244,4679140
208063,107243
304240,5594920
204123,9804058
205182,9906156
209067,2964265
203183,3485144
203099,201222
210029,9160
303207,7111009
207017,6762728
204195,9906057
304269,209014
207052,6077949
303055,8096370
201079,2254643
206052,8796583
303182,2219962
208142,77545
205067,9907216
110022,9083
208089,1998417
204248,107200
203049,9806087
207072,2091648
204148,2293497
203091,110260
204089,2935427
210310,7567980
203247,1581225
209230,1200
212295,7350684
210040,7194694
210249,6117
211209,9801195
202083,9609075
204146,2325879
205306,101126
203046,252559
301093,5311091
112072,6825774
203050,5045
212208,7149292
112104,9611107
206154,4099722
203139,12425
209164,105149
111020,6245284
211013,9122
211033,107185
204089,12188
201183,9503124
212217,211218
212083,8399346
205306,7892094
210281,2228274
205015,204004
303181,4037960
205299,9022
210250,103239
204206,2201285
111081,9906182
112187,108101
210254,6853316
212269,206073
205089,2682600
303056,8784833
203101,474999
207077,9812193
201019,9802150
301085,112175
303042,2015013
301135,211291
202173,4957161
211257,5484889
211158,9712226
205174,375183
212111,202021
203203,2564735
202113,12208
208227,9318064
303199,12251
212093,9183
210087,8457477
