111094,104090
105182,1113
103095,9509074
104139,10204
8173,9705044
105193,9503230
12067,9912279
103089,2117
11115,9904179
8147,9905046
101126,9612121
11019,9903205
107081,9906234
11095,9909202
2144,9908128
109099,108055
111070,3052
5145,9902098
9022,8190
101126,9508154
108168,9811172
102040,9804072
110212,9903255
9158,6207
5147,9903037
4152,9801199
6087,9910135
9141,9908134
7253,9604179
109170,9409188
4124,9912012
10203,2091
11083,9709175
12213,9503030
105117,101076
12059,6090
112202,12251
104267,2015
103108,102138
11109,9506135
9907123,9812055
5098,9511222
108043,12137
107060,9510225
7106,9812219
110055,9601096
2191,9712160
104087,9407182
104124,11111
110036,9608047
102133,2004
102099,9712004
7155,9803031
108128,6234
1053,9403141
6054,9907124
5136,9910096
109070,105311
108085,9810188
1185,9605104
104136,9906055
2116,9708005
111281,111034
104164,11033
105198,9907182
12068,9902115
103163,10241
9252,3124
9185,9810251
5272,1203
107152,9407087
101226,11079
6196,9602043
1001,9506048
104208,9612182
108124,9303005
9907123,9804104
104230,9311177
5204,3160
110108,9806146
108204,9706225
10244,9911098
104254,6189
6192,9906064
104141,103241
108189,101195
3192,9712157
10167,9707013
108052,9711200
6011,9604030
6017,9512143
106281,3160
106258,8123
6038,6025
105109,9901082
104069,101096
9909056,9301052
12250,9408099
108216,107251
1201,9705120
101126,9511043
106198,9908056
12049,2190
101057,5165
11222,9801139
7109,9911238
12085,9805109
9711182,9502140
109146,107055
5145,9702187
101126,9911116
8097,9903006
1167,9901080
111284,9407087
8119,7052
9025,9510135
104050,12037
107090,7024
110066,9908056
9912257,9908125
1045,9912291
6069,9912287
111121,9710009
102076,101199
103167,101096
110132,110022
109122,107134
105171,3055
6191,9510209
110006,9811169
3020,9912135
7107,9802068
106223,9202011
5208,3007
7071,9506112
2116,9803068
9910178,9710176
7094,9701060
7170,9612062
103095,9708046
106127,9905012
105087,9810099
3103,9905075
8075,9908142
2076,9906064
2030,9805028
101038,9707018
101199,5031
1200,9910170
6176,9906194
2255,9711200
7239,5025
103204,9906240
112121,9901125
5193,9906064
105304,9806199
105066,9906012
8190,4124
106008,9711200
12143,2174
8225,9711200
103064,9137
3141,9305014
8088,8015
7012,9810188
2184,9604134
3102,9905111
9038,3124
3032,9911172
3114,9908142
108192,105181
102021,9905061
105174,1025
5133,9806168
104022,9712066
